model,profile,sweep_resolution,crosstalk_alpha,gaussian_noise_std,accuracy_backend,engine,parity_status,parity_report_ref,acc_top1,acc_drop_pp,latency_ms,energy_j,accuracy_results_csv,accuracy_source_run_ids,accuracy_seeds,seed_count,complete,representative_profile,source_run_tag,source_status,evidence_basis,robustness_claim_status,phase1_run_id,phase1_run_dir,accuracy_launch_policy,phase1_launch_policy
mobilevit_s,dense_a0p0_g0p0,dense,0.0,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,63.28125,0.390625,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p0_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p0_g0p0_acc,0;1;2,3,true,clean,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p0_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p0_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p005_g0p0,dense,0.005,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,65.625,0.0,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p005_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p005_g0p0_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p005_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p005_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p01_g0p0,dense,0.01,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,58.203125,5.46875,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p01_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p01_g0p0_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p01_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p01_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p02_g0p0,dense,0.02,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,35.9375,27.734375,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p02_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p02_g0p0_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p02_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p02_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p03_g0p0,dense,0.03,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,2.734375,60.9375,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p03_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p03_g0p0_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p03_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p03_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p05_g0p0,dense,0.05,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,0.0,63.671875,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p05_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p05_g0p0_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p05_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p05_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p08_g0p0,dense,0.08,0.0,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,0.0,63.671875,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p08_g0p0.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p08_g0p0_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p08_g0p0_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p08_g0p0_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p0_g0p25,dense,0.0,0.25,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,55.859375,7.8125,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p0_g0p25.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p0_g0p25_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p0_g0p25_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p0_g0p25_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p005_g0p25,dense,0.005,0.25,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,62.109375,1.5625,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p005_g0p25.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p005_g0p25_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p005_g0p25_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p005_g0p25_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p01_g0p25,dense,0.01,0.25,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,51.432291666666664,12.239583333333334,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p01_g0p25.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p01_g0p25_acc,0;1;2,3,true,mild,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p01_g0p25_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p01_g0p25_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p02_g0p25,dense,0.02,0.25,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,24.609375,39.0625,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p02_g0p25.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p02_g0p25_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p02_g0p25_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p02_g0p25_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p03_g0p25,dense,0.03,0.25,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,2.34375,61.328125,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p03_g0p25.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p03_g0p25_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p03_g0p25_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p03_g0p25_phase1,caffeinate -dimsu,caffeinate -dimsu
mobilevit_s,dense_a0p05_g0p25,dense,0.05,0.25,mlx,mlx,mlx_parity_optimization_deferred,/Users/jk6k/Desktop/fyp/docs/reports/20260331_mlx_accuracy_backend_bounded_closure_completion_note.md,0.0,63.671875,1.8047251279999998,0.11514683007940367,/Users/jk6k/Desktop/fyp/experiments/results/accuracy/20260427_fuller_final_unreserved_datafig_rebuild/noise/mobilevit_s_dense_a0p05_g0p25.csv,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p05_g0p25_acc,0,1,false,,20260427_fuller_final_unreserved_datafig_rebuild,regenerated_current,current_basis_noise_preflight,bounded_sensitivity,20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p05_g0p25_phase1,/Users/jk6k/Desktop/fyp/experiments/results/runs/20260427_fuller_final_unreserved_datafig_rebuild_mobilevit_s_dense_a0p05_g0p25_phase1,caffeinate -dimsu,caffeinate -dimsu
